probeid	MSU6
1552566_at NA
1552568_at NA
1552569_a_at NA
1552570_at NA
1552572_a_at NA
1552573_s_at NA
1552575_a_at NA
1552576_at NA
1552578_a_at NA
1552579_a_at NA
1552580_at NA
1552582_at NA
1552583_s_at NA
1552584_at NA
1552585_s_at NA
1552586_at NA
1552587_at NA
1552588_a_at NA
1552590_a_at NA
1552592_at NA
1552594_at NA
1552596_at NA
1552598_at NA
1552599_at NA
1552602_at NA
1552604_at NA
1552605_s_at NA
1552607_at NA
1552608_at NA
1552609_s_at NA
1552610_a_at NA
1552611_a_at NA
1552612_at NA
1552613_s_at NA
1552615_at NA
1552616_a_at NA
1552617_a_at NA
1552618_at NA
1552619_a_at NA
1552620_at NA
1552621_at NA
1552622_s_at NA
1552623_at NA
1552625_a_at NA
1552626_a_at NA
1552627_a_at NA
1552628_a_at NA
1552629_a_at NA
1552630_a_at NA
1552631_a_at NA
1552632_a_at NA
1552633_at NA
1552634_a_at NA
1552637_at NA
1552639_at NA
1552641_s_at NA
1552643_at NA
1552644_a_at NA
1552646_at NA
1552648_a_at NA
1552649_a_at NA
1552651_a_at NA
1552652_at NA
1552656_s_at NA
1552657_a_at NA
1552658_a_at NA
1552660_a_at NA
1552661_at NA
1552662_a_at NA
1552663_a_at NA
1552664_at NA
1552665_at NA
1552666_a_at NA
1552667_a_at NA
1552669_at NA
1552670_a_at NA
1552671_a_at NA
1552672_a_at NA
1552673_at NA
1552674_at NA
1552675_at NA
1552676_at NA
1552677_a_at NA
1552678_a_at NA
1552680_a_at NA
1552682_a_at NA
1552684_a_at NA
1552685_a_at NA
1552686_at NA
1552687_a_at NA
1552689_at NA
1552690_a_at NA
1552691_at NA
1552693_at NA
1552694_at NA
1552695_a_at NA
1552696_at NA
1552698_at NA
1552701_a_at NA
1552703_s_at NA
1552705_at NA
1552708_a_at NA
1552711_a_at NA
1552712_a_at NA
1552713_a_at NA
1552714_at NA
1552715_a_at NA
1552716_at NA
1552717_s_at NA
1552718_at NA
1552719_at NA
1552721_a_at NA
1552722_at NA
1552724_at NA
1552725_s_at NA
